objectid,name,address,county,telephone,email,website,naics_code,infra_type,feedstock
32,"Strategic Materials, Inc.","2350 Daniel Road, Atlanta, GA, 30331", ,(404) 629-2186, , ,562920,Glass Secondary Processors,Glass
51,"Strategic Materials, Inc. ""College Park Plant""","3050 Roosevelt Highway, College Park, GA, 30349", ,(404) 761-1340, , ,562920,Glass Secondary Processors,Glass
